Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1815,0,73,91.90964593830303,57.810371999948984,3358.4266399993794,11405.0,4.32092262636472,0.0,73,79,85,90,110,160,290,370,2200,3400,3400
GET,/api/cart,5551,0,67,98.76533813188279,55.74229500052752,3802.4202519991377,24.0,13.21511928316835,0.0,67,72,77,81,99,140,350,1100,3300,3800,3800
POST,/api/cart,11347,1,74,91.33275139552786,57.32317300135037,1940.5190729994501,118.88181898299109,27.013503604055355,0.002380673623341443,74,80,85,89,110,140,220,400,1700,1900,1900
POST,/api/checkout,3745,2,140,246.37271784087366,80.39408799959347,3141.7441199992027,1685.366355140187,8.915622719413705,0.004761347246682886,140,170,210,250,500,820,1500,1800,3000,3100,3100
GET,/api/data/,5494,1,130,165.57336934130015,109.49764299948583,3812.0113510012743,158.97324353840554,13.079420886637887,0.002380673623341443,130,140,160,170,220,300,420,460,3600,3800,3800
POST,/api/product-ask-ai-assistant/[id],1845,0,95,310.8271377539909,64.0983140001481,6331.093765998958,258.21246612466126,4.392342835064962,0.0,95,170,270,410,790,1300,2100,2900,6300,6300,6300
GET,/api/product-reviews/[id],3591,142,84,242.38127028513992,59.46869699982926,4586.820704000274,965.9891395154553,8.548998981419121,0.33805565451448494,84,140,240,360,660,1100,1300,1300,3500,4600,4600
GET,/api/products/[id],29959,33,69,98.05758125816226,54.04767100117169,4508.882202000677,611.2688674521846,71.32260108168629,0.07856222957026762,69,76,84,91,120,170,350,540,3300,4500,4500
GET,/api/recommendations,5554,0,95,148.70246311269665,62.68186799934483,3903.146803000709,2431.9576881526827,13.222261304038375,0.0,95,120,140,160,250,350,560,780,3500,3900,3900
,Aggregated,68901,179,76,127.59189005529092,54.04767100117169,6331.093765998958,945.3086747652429,164.03079332184876,0.4261405785781183,76,92,110,120,180,310,640,1200,3300,4500,6300
