Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2260,0,79,123.75768478762019,58.870967000075325,1557.7028150000842,11405.0,5.380269185035264,0.0,79,97,120,140,220,340,530,790,1300,1600,1600
GET,/api/cart,6754,0,74,137.0118264495082,54.43066799944063,10265.080692000083,24.0,16.078910652977065,0.0,74,90,110,140,240,420,820,1200,1900,10000,10000
POST,/api/cart,13909,0,79,119.98639788014609,59.90955800007214,2030.6779190004818,118.70263857933712,33.11246198878561,0.0,79,92,110,120,180,280,490,870,1900,2000,2000
POST,/api/checkout,4585,5,720,858.7696493151574,85.33880800041516,12622.891729000003,1678.2052344601964,10.915280625392338,0.011903250409370052,720,1000,1200,1400,1800,2100,2400,2600,3100,13000,13000
GET,/api/data/,6969,0,150,204.0942587661005,109.08491299960588,10568.014980000044,159.78117376955086,16.59075042057998,0.0,150,180,210,230,330,470,720,990,1700,11000,11000
POST,/api/product-ask-ai-assistant/[id],2343,0,91,164.6893265279516,62.8228579998904,2746.470219999537,266.61801109688435,5.5778631418308064,0.0,91,130,160,200,320,460,800,1200,2600,2700,2700
GET,/api/product-reviews/[id],4530,51,87,158.23577072031026,58.7061359992731,31617.263705999903,993.3532008830022,10.784344870889267,0.12141315417557452,87,120,160,190,300,460,650,880,1900,32000,32000
GET,/api/products/[id],37083,183,74,123.80119393638756,54.35542000032001,44656.66499800045,609.021087830003,88.28164698613392,0.4356589649829439,74,89,110,130,210,340,560,720,1300,15000,45000
GET,/api/recommendations,6821,0,100,172.83373807594376,63.85179300013988,5551.687984000637,2434.5283682744466,16.238414208462626,0.0,100,150,190,230,350,500,670,900,1500,5600,5600
,Aggregated,85254,239,85,177.1910587022658,54.35542000032001,44656.66499800045,946.7161658104019,202.95994208008688,0.5689753695678885,85,120,150,180,340,600,1100,1500,2500,11000,45000
