Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,475,0,68,75.82696434517857,57.59609199958504,554.0988069988089,11405.0,1.1310488111751138,0.0,68,72,76,80,90,110,140,200,550,550,550
GET,/api/cart,1383,0,64,91.38033965514701,56.2374839973927,3172.897798998747,24.0,3.293137907063542,0.0,64,67,71,74,93,130,430,980,2200,3200,3200
POST,/api/cart,2859,1,69,84.94843407448019,53.068314999109134,1911.1107290009386,119.10178384050367,6.807723265578211,0.0023811553919476083,69,73,77,80,95,120,180,400,1900,1900,1900
POST,/api/checkout,955,1,110,215.72555343137296,83.41478999864194,10678.49443600062,1673.2324607329842,2.2740033993099655,0.0023811553919476083,110,120,130,140,170,220,1400,3500,11000,11000,11000
GET,/api/data/,1347,0,130,147.24694523979008,111.36177500156919,3564.36357399798,161.16481069042317,3.2074163129534283,0.0,130,130,140,150,170,190,230,290,3500,3600,3600
POST,/api/product-ask-ai-assistant/[id],485,0,75,246.87879457946786,64.06699400031357,12629.236229000526,259.3278350515464,1.15486036509459,0.0,75,80,86,96,130,250,3300,7900,13000,13000,13000
GET,/api/product-reviews/[id],929,24,69,122.17900210548632,59.96562500149594,3291.333345001476,979.8686759956943,2.212093359119328,0.05714772940674259,69,74,80,86,140,260,1300,1300,3300,3300,3300
GET,/api/products/[id],7524,180,64,109.17177483851637,55.01889399965876,3580.3155249996053,594.5693779904307,17.915813169013802,0.4286079705505695,64,68,73,76,97,150,1300,1300,2400,3600,3600
GET,/api/recommendations,1405,4,77,108.70903867686928,57.57726799856755,2513.764948998869,2388.2227758007116,3.3455233256863894,0.009524621567790433,77,83,90,97,140,200,560,570,2500,2500,2500
,Aggregated,17362,210,69,116.1737744006428,53.068314999109134,12629.236229000526,948.6908190300657,41.341619914994375,0.5000426323089977,69,77,90,100,130,170,580,1300,3600,12000,13000
