# EV-06 pod trong namespace
# phase=before  utc=20260730-175720
------------------------------------------------------------------------
NAME                                             READY   STATUS      RESTARTS       AGE     IP            NODE                                             NOMINATED NODE   READINESS GATES
product-reviews-egress-proxy-5d448f88cc-4hl4t    1/1     Running     0              27h     10.0.30.117   ip-10-0-26-153.ap-southeast-1.compute.internal   <none>           <none>
product-reviews-egress-proxy-5d448f88cc-znzkr    1/1     Running     0              27h     10.0.12.111   ip-10-0-8-134.ap-southeast-1.compute.internal    <none>           <none>
prometheus-5f66b859cf-jl2j8                      1/1     Running     0              4h37m   10.0.46.250   ip-10-0-43-83.ap-southeast-1.compute.internal    <none>           <none>
prometheus-6bf886fbf6-z7b26                      0/1     Completed   0              13d     10.0.14.211   ip-10-0-8-134.ap-southeast-1.compute.internal    <none>           <none>
quote-6d7c5685c5-g5qwq                           1/1     Running     0              9h      10.0.5.54     ip-10-0-5-127.ap-southeast-1.compute.internal    <none>           <none>
quote-6d7c5685c5-kl45c                           1/1     Running     0              11h     10.0.37.158   ip-10-0-34-80.ap-southeast-1.compute.internal    <none>           <none>
recommendation-759b7cd8c6-l298d                  1/1     Running     0              11h     10.0.23.199   ip-10-0-26-153.ap-southeast-1.compute.internal   <none>           <none>
shipping-5d588978dd-dnsjk                        1/1     Running     0              9h      10.0.5.46     ip-10-0-5-127.ap-southeast-1.compute.internal    <none>           <none>
shipping-5d588978dd-nqtpq                        1/1     Running     0              11h     10.0.34.180   ip-10-0-34-80.ap-southeast-1.compute.internal    <none>           <none>
shopping-copilot-65546fb68f-fltvf                1/1     Running     0              10h     10.0.47.62    ip-10-0-43-83.ap-southeast-1.compute.internal    <none>           <none>
shopping-copilot-65546fb68f-k6g7j                1/1     Running     0              10h     10.0.4.63     ip-10-0-8-134.ap-southeast-1.compute.internal    <none>           <none>
shopping-copilot-egress-proxy-5fcbc4bcd4-gc8nk   1/1     Running     0              15h     10.0.31.184   ip-10-0-24-177.ap-southeast-1.compute.internal   <none>           <none>
shopping-copilot-egress-proxy-5fcbc4bcd4-jvc8r   1/1     Running     0              15h     10.0.14.211   ip-10-0-8-134.ap-southeast-1.compute.internal    <none>           <none>

