# EV-07 CloudWatch ALB quanh cửa sổ bắn (nguồn độc lập với Prometheus)
# phase=after  utc=20260730-180505
------------------------------------------------------------------------
===== HTTPCode_Target_5XX_Count (Sum, 60s) =====
2026-07-31T00:26:00+07:00	3.0
2026-07-31T00:27:00+07:00	5.0
2026-07-31T00:32:00+07:00	3.0
2026-07-31T00:33:00+07:00	2.0
2026-07-31T00:34:00+07:00	1.0
2026-07-31T01:02:00+07:00	3.0
===== HTTPCode_Target_2XX_Count (Sum, 60s) =====
2026-07-31T00:20:00+07:00	23.0
2026-07-31T00:22:00+07:00	15.0
2026-07-31T00:23:00+07:00	8.0
2026-07-31T00:24:00+07:00	53.0
2026-07-31T00:25:00+07:00	73.0
2026-07-31T00:26:00+07:00	43.0
2026-07-31T00:27:00+07:00	38.0
2026-07-31T00:28:00+07:00	72.0
2026-07-31T00:29:00+07:00	22.0
2026-07-31T00:30:00+07:00	5.0
2026-07-31T00:31:00+07:00	15.0
2026-07-31T00:32:00+07:00	37.0
2026-07-31T00:33:00+07:00	15.0
2026-07-31T00:34:00+07:00	115.0
2026-07-31T00:35:00+07:00	117.0
2026-07-31T00:36:00+07:00	102.0
2026-07-31T00:42:00+07:00	1.0
2026-07-31T00:52:00+07:00	1.0
2026-07-31T00:56:00+07:00	1.0
2026-07-31T00:58:00+07:00	51.0
2026-07-31T00:59:00+07:00	59.0
2026-07-31T01:00:00+07:00	72.0
2026-07-31T01:01:00+07:00	72.0
2026-07-31T01:02:00+07:00	105.0
2026-07-31T01:03:00+07:00	73.0
===== RequestCount (Sum, 60s) =====
2026-07-31T00:20:00+07:00	25.0
2026-07-31T00:21:00+07:00	0.0
2026-07-31T00:22:00+07:00	32.0
2026-07-31T00:23:00+07:00	27.0
2026-07-31T00:24:00+07:00	53.0
2026-07-31T00:25:00+07:00	82.0
2026-07-31T00:26:00+07:00	47.0
2026-07-31T00:27:00+07:00	43.0
2026-07-31T00:28:00+07:00	73.0
2026-07-31T00:29:00+07:00	23.0
2026-07-31T00:30:00+07:00	5.0
2026-07-31T00:31:00+07:00	15.0
2026-07-31T00:32:00+07:00	43.0
2026-07-31T00:33:00+07:00	22.0
2026-07-31T00:34:00+07:00	116.0
2026-07-31T00:35:00+07:00	117.0
2026-07-31T00:36:00+07:00	102.0
2026-07-31T00:37:00+07:00	0.0
2026-07-31T00:38:00+07:00	0.0
2026-07-31T00:39:00+07:00	0.0
2026-07-31T00:40:00+07:00	0.0
2026-07-31T00:41:00+07:00	0.0
2026-07-31T00:42:00+07:00	5.0
2026-07-31T00:43:00+07:00	0.0
2026-07-31T00:44:00+07:00	0.0
2026-07-31T00:45:00+07:00	0.0
2026-07-31T00:46:00+07:00	0.0
2026-07-31T00:47:00+07:00	0.0
2026-07-31T00:48:00+07:00	0.0
2026-07-31T00:49:00+07:00	0.0
2026-07-31T00:50:00+07:00	0.0
2026-07-31T00:51:00+07:00	0.0
2026-07-31T00:52:00+07:00	1.0
2026-07-31T00:53:00+07:00	0.0
2026-07-31T00:54:00+07:00	0.0
2026-07-31T00:55:00+07:00	0.0
2026-07-31T00:56:00+07:00	4.0
2026-07-31T00:57:00+07:00	0.0
2026-07-31T00:58:00+07:00	51.0
2026-07-31T00:59:00+07:00	60.0
2026-07-31T01:00:00+07:00	72.0
2026-07-31T01:01:00+07:00	72.0
2026-07-31T01:02:00+07:00	110.0
2026-07-31T01:03:00+07:00	73.0
2026-07-31T01:04:00+07:00	0.0
===== TargetResponseTime (Average, 60s) =====
2026-07-31T00:20:00+07:00	0.014806160000000002
2026-07-31T00:22:00+07:00	0.005728656249999999
2026-07-31T00:23:00+07:00	0.006680592592592592
2026-07-31T00:24:00+07:00	0.006691471698113207
2026-07-31T00:25:00+07:00	0.00782887804878049
2026-07-31T00:26:00+07:00	0.358635170212766
2026-07-31T00:27:00+07:00	0.6826360930232558
2026-07-31T00:28:00+07:00	0.007456150684931506
2026-07-31T00:29:00+07:00	0.28526491304347823
2026-07-31T00:30:00+07:00	0.589479
2026-07-31T00:31:00+07:00	0.0177176
2026-07-31T00:32:00+07:00	0.37123505
2026-07-31T00:33:00+07:00	0.4546617647058824
2026-07-31T00:34:00+07:00	0.05606724999999999
2026-07-31T00:35:00+07:00	0.017957871794871797
2026-07-31T00:36:00+07:00	0.013058156862745097
2026-07-31T00:42:00+07:00	0.009339
2026-07-31T00:52:00+07:00	0.002135
2026-07-31T00:56:00+07:00	0.0053105
2026-07-31T00:58:00+07:00	0.007277529411764705
2026-07-31T00:59:00+07:00	0.018107237288135593
2026-07-31T01:00:00+07:00	0.007199986111111112
2026-07-31T01:01:00+07:00	0.006471402777777777
2026-07-31T01:02:00+07:00	0.14563408181818183
2026-07-31T01:03:00+07:00	0.007084123287671233

