Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,927,0,62,74.78005091911581,53.98555600004329,2589.878819999285,11405.0,2.2066505780424857,0.0,62,65,68,71,83,100,150,190,2600,2600,2600
GET,/api/cart,2795,0,58,85.63884131841871,51.638621000165585,3602.2031200009224,24.0,6.65327763282497,0.0,58,61,64,66,78,120,230,680,3300,3600,3600
POST,/api/cart,5698,0,63,73.69512607475373,55.14301499897556,1664.954445001058,118.67778167778168,13.5636407698879,0.0,63,66,68,71,82,100,170,240,1100,1700,1700
POST,/api/checkout,1889,0,100,141.73253654736612,76.1924469989026,1885.7988039999327,1673.889359449444,4.496615902828754,0.0,100,130,150,170,240,330,460,530,1700,1900,1900
GET,/api/data/,2774,0,110,126.05299139256469,101.78430900123203,3620.7056599996577,158.4643114635905,6.603288784778701,0.0,110,120,120,120,140,170,200,260,2600,3600,3600
POST,/api/product-ask-ai-assistant/[id],945,0,68,95.46340920633396,58.39463899974362,3237.7494409993233,260.405291005291,2.2494981620821455,0.0,68,72,79,86,130,210,330,430,3200,3200,3200
GET,/api/product-reviews/[id],1884,2,62,89.78073970012602,54.20231700009026,3593.8613380003517,1002.7016985138005,4.4847137961510715,0.004760842671073324,62,66,71,78,120,170,310,470,3400,3600,3600
GET,/api/products/[id],15140,0,59,71.60268727576796,51.71015000087209,3624.800827001309,611.7932628797886,36.039579020025066,0.0,59,61,63,65,76,95,140,170,2600,3400,3600
GET,/api/recommendations,2763,0,71,95.95237577813728,59.45534199963731,3599.0162160014734,2446.826637712631,6.577104150087798,0.0,71,75,80,85,120,170,280,420,3300,3600,3600
,Aggregated,34815,2,63,84.86402963225717,51.638621000165585,3624.800827001309,950.0388625592417,82.8743687967089,0.004760842671073324,63,68,77,87,120,140,220,330,2600,3600,3600
