Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1343,1,71,93.05390443189754,57.05674799901317,3575.5415109997557,11396.575577066269,3.197181310105425,0.002380626440882669,71,77,83,86,100,130,210,300,3500,3600,3600
GET,/api/cart,4238,3,66,99.99776891999502,55.67000399969402,5061.507361002441,24.06488909863143,10.089094856460752,0.007141879322648008,66,70,74,78,96,150,480,1000,3300,5100,5100
POST,/api/cart,8449,2,72,91.91353749760111,58.46320300042862,3954.7757450018253,118.0685288199787,20.113912799017672,0.004761252881765338,72,77,82,86,100,130,250,600,1600,4000,4000
POST,/api/checkout,2843,5,120,197.0614679412724,56.224149997433415,5648.4416679995775,1658.2711924023918,6.768120971429429,0.011903132204413348,120,130,150,160,230,420,1300,2200,4600,5600,5600
GET,/api/data/,4128,4,130,151.85823377372537,109.94356700030039,5112.5304640008835,159.53003875968992,9.82722594796366,0.009522505763530677,130,140,140,150,170,200,280,400,3500,5100,5100
POST,/api/product-ask-ai-assistant/[id],1361,0,81,232.5661014261638,63.955170997360256,10412.325178000174,256.8927259368112,3.240032586041313,0.0,81,97,120,150,360,620,2300,3500,8500,10000,10000
GET,/api/product-reviews/[id],2791,83,74,174.60567389826818,59.495251000043936,4653.087074999348,974.9501970619849,6.64432839650353,0.19759199459326157,74,89,110,140,360,650,1300,1400,4600,4700,4700
GET,/api/products/[id],22540,142,67,100.0272161554108,54.24669000058202,4580.382969998027,610.0925022182786,53.65931997749537,0.33804895460533907,67,71,76,79,97,140,560,1200,3300,4100,4600
GET,/api/recommendations,4195,0,82,124.4246016269105,63.627894000092056,4573.347550998733,2417.364958283671,9.986727919502798,0.0,82,90,100,110,160,230,570,900,3600,4600,4600
,Aggregated,51888,240,72,117.42363388232548,54.24669000058202,10412.325178000174,939.3540317607154,123.52594476451995,0.5713503458118406,72,82,96,110,140,210,590,1300,3500,6100,10000
