Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2780,0,84,157.4318327222947,58.15003899988369,6438.099719000093,11405.0,6.617188255853018,0.0,84,110,140,160,250,360,860,1200,4700,6400,6400
GET,/api/cart,8492,0,77,154.29357583349065,55.85461999999097,6189.0439869994225,24.0,20.213367866440226,0.0,77,95,120,150,240,420,1000,1500,4400,6200,6200
POST,/api/cart,17313,2,83,140.83591455992814,59.773011000288534,6231.071408999924,118.66568474556692,41.20984901927457,0.00476056709054174,83,100,120,140,220,320,890,1300,2100,3000,6200
POST,/api/checkout,5526,3912,15000,13608.109247905715,112.95579000034195,17765.327799999795,490.60351067680057,13.153446871166828,9.311669229099643,15000,15000,15000,15000,15000,15000,15000,16000,17000,18000,18000
GET,/api/data/,8337,1,150,236.30669269246,112.00985400137142,5649.952351000138,160.27995681899964,19.844423916923244,0.00238028354527087,150,190,220,250,350,500,1200,1800,3800,5600,5600
POST,/api/product-ask-ai-assistant/[id],2886,0,100,197.82457880386485,63.410450999072054,6620.4815099999905,258.6299376299376,6.86949831165173,0.0,100,140,190,220,350,540,1000,1700,5300,6600,6600
GET,/api/product-reviews/[id],5693,134,95,184.89504860125277,59.38194499958627,6228.323430999808,981.2654136659055,13.550954223227063,0.3189579950662966,95,140,180,220,350,530,900,1200,4700,6200,6200
GET,/api/products/[id],45226,169,76,142.09303846376486,56.27291699966008,7068.0122870007835,611.6042541900676,107.65070361842037,0.40226791915077703,76,94,120,140,220,330,750,1100,5300,6500,7100
GET,/api/recommendations,8279,0,110,206.11268686158445,64.89770299958764,6014.787664000323,2404.3618794540403,19.706367471297533,0.0,110,170,220,270,400,570,930,1200,4500,6000,6000
,Aggregated,104532,4218,89,871.608218237767,55.85461999999097,17765.327799999795,879.255845100065,248.81579955425457,10.040035993952529,89,130,170,200,410,5700,15000,15000,15000,16000,18000
