Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3040,0,91,122.29641555921395,57.824005001748446,4169.376177000231,11405.0,7.237020305346866,0.0,91,110,120,130,170,240,370,510,3400,4200,4200
GET,/api/cart,9432,0,81,121.04897446969325,56.23450999701163,3745.721979998052,24.0,22.453807736852514,0.0,81,93,100,110,160,250,510,920,3500,3700,3700
POST,/api/cart,18861,0,97,122.87679401337009,57.43120899933274,2086.281569998391,117.98361698743439,44.900473677351066,0.0,97,110,120,130,170,230,380,690,1800,2000,2100
POST,/api/checkout,6254,114,300,459.95814093890624,91.33177399780834,5045.541583000158,1627.795810681164,14.888264799223453,0.2713882614505075,300,430,540,630,950,1300,1800,2300,4000,5000,5000
GET,/api/data/,9523,0,150,186.1407821288244,110.52361199836014,4194.323971998529,158.77780111309463,22.67044222625599,0.0,150,170,180,200,240,310,440,560,3800,4200,4200
POST,/api/product-ask-ai-assistant/[id],3127,1,690,887.4459714947361,65.04194700028165,11106.579576000513,217.64182922929325,7.444132399611727,0.002380598784653574,690,1200,1400,1500,1900,2300,2700,3600,7300,11000,11000
GET,/api/product-reviews/[id],6367,2001,770,728.1275526404875,60.826856999483425,5191.734960000758,695.4279880634522,15.157272461889308,4.763578168091803,770,1200,1300,1300,1300,1300,1400,1500,3800,5200,5200
GET,/api/products/[id],50552,895,120,224.6926687073331,53.960443001415115,5331.796007001685,601.320026902991,120.34402976180749,2.130635912264949,120,170,240,290,490,730,1300,1400,3800,5100,5300
GET,/api/recommendations,9352,0,230,364.7075494005377,65.88603400086868,5060.453817000962,2356.680603079555,22.263359834080227,0.0,230,360,480,560,790,1100,1400,1600,4000,5100,5100
,Aggregated,116508,3011,130,263.16417409140985,53.960443001415115,11106.579576000513,912.9080921481786,277.35880320241864,7.167982940591912,130,180,250,320,620,1100,1300,1700,3800,6000,11000
