Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2103,0,73,922.003383012397,57.509178997861454,65814.88010099929,11405.0,5.006412849394595,0.0,73,81,89,95,130,200,710,58000,61000,66000,66000
GET,/api/cart,6027,0,68,1327.6483881509653,53.394129001389956,71430.4330039995,24.0,14.347907866524595,0.0,68,75,83,90,130,230,57000,58000,61000,71000,71000
POST,/api/cart,11794,0,73,123.33505907470706,57.85438400198473,72579.96808499956,118.50356113277938,28.076858366980435,0.0,73,80,86,93,120,170,320,630,2000,69000,73000
POST,/api/checkout,3904,13,130,242.20755879280418,80.09968199985451,60838.05396599928,1680.7733094262296,9.293882912047788,0.03094786830343782,130,150,160,180,220,300,1500,3000,8600,61000,61000
GET,/api/data/,5939,0,130,1071.3202383071239,106.5527060018212,76436.3749410004,159.37800976595386,14.138414604162863,0.0,130,150,160,170,210,280,1800,58000,72000,76000,76000
POST,/api/product-ask-ai-assistant/[id],2012,5,83,1686.8945613951291,59.74056899867719,74643.30283399977,251.96570576540756,4.78977777127053,0.011903026270553008,83,100,140,180,380,1500,57000,67000,74000,75000,75000
GET,/api/product-reviews/[id],3994,149,76,1363.8791824667142,57.03664199972991,68581.54096400176,967.7971957936905,9.508137384917742,0.35471018286247963,76,96,120,150,330,920,57000,59000,61000,69000,69000
GET,/api/products/[id],31776,580,68,1058.181969670827,54.33046600228408,74726.20061700218,600.8290848439074,75.64611255461847,1.3807510473841489,68,76,83,90,130,240,1700,58000,61000,70000,75000
GET,/api/recommendations,5974,0,83,1099.8146753557285,62.833372998284176,63460.26418200199,2394.169568128557,14.221735788056733,0.0,83,97,120,130,220,360,2400,58000,61000,63000,63000
,Aggregated,73523,747,75,921.3432707119608,53.394129001389956,76436.3749410004,962.9956612216586,175.02924009797374,1.7783121248206193,75,90,110,120,170,280,1400,58000,62000,74000,76000
