Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,446,0,68,86.02874052691239,59.505035998881795,3287.676416999602,11405.0,1.0616820043208128,0.0,68,72,75,78,93,130,190,270,3300,3300,3300
GET,/api/cart,1392,0,64,82.34042157612711,54.56356700051401,2309.9665150002693,24.0,3.313590470884689,0.0,64,67,70,73,89,120,250,560,2300,2300,2300
POST,/api/cart,2847,0,68,80.60530459115051,59.313297000699094,1480.7955769992986,118.58623112047769,6.777149476012005,0.0,68,71,74,78,93,120,180,260,1300,1500,1500
POST,/api/checkout,951,0,98,124.6439432639353,79.64248499956739,1751.0377329999756,1655.484752891693,2.263810731186307,0.0,98,110,130,140,180,240,340,400,1800,1800,1800
GET,/api/data/,1419,0,120,140.90212830233781,109.89542900097149,3434.9372270007734,159.66243833685695,3.3778626998458146,0.0,120,130,130,140,160,200,250,310,2300,3400,3400
POST,/api/product-ask-ai-assistant/[id],491,0,74,113.0220517800506,61.66385399956198,3559.94571500014,269.19348268839104,1.1688023859226886,0.0,74,79,85,94,130,200,380,480,3600,3600,3600
GET,/api/product-reviews/[id],987,0,68,97.43780177302585,57.91630599924247,3361.815194999508,1004.6231003039513,2.3495070364678075,0.0,68,72,77,86,110,160,300,440,3400,3400,3400
GET,/api/products/[id],7549,0,64,80.10479042827158,56.02716899920779,3573.24356800018,610.8338852828189,17.970039126945775,0.0,64,67,70,73,86,110,150,210,3200,3600,3600
GET,/api/recommendations,1356,0,77,97.84556375147197,64.87639999977546,3380.32732299871,2461.2573746312682,3.2278941656031885,0.0,77,83,90,97,130,180,230,300,2300,3400,3400
,Aggregated,17438,0,68,91.18024329332482,54.56356700051401,3573.24356800018,936.5160568872577,41.51033809718909,0.0,68,75,86,95,120,150,220,310,3200,3600,3600
