Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,894,0,68,75.90570282212524,56.755306002742145,449.2512639990309,11405.0,2.128232308264481,0.0,68,72,76,79,92,110,160,210,450,450,450
GET,/api/cart,2832,0,64,88.20842125178156,54.77943199730362,3359.0539540018653,24.0,6.741782882555941,0.0,64,68,72,75,92,130,260,690,2800,3400,3400
POST,/api/cart,5501,0,69,97.45524392728278,58.97753300087061,1710.3713270007574,118.1223413924741,13.095532357676635,0.0,69,74,79,82,100,150,480,970,1700,1700,1700
POST,/api/checkout,1856,5,96,150.68757265675995,78.21838300151285,6765.960486998665,1646.739224137931,4.418343584047961,0.011902865258749895,96,100,110,110,140,190,980,1900,6100,6800,6800
GET,/api/data/,2772,0,130,145.61838560678748,108.32129100163002,3816.0902939998778,158.43506493506493,6.598948499450942,0.0,130,130,140,150,170,200,240,290,3600,3800,3800
POST,/api/product-ask-ai-assistant/[id],1019,0,74,240.10693771841522,59.51962499966612,10217.353344000003,256.34936211972524,2.4258039397332287,0.0,74,82,90,100,150,250,3600,5900,10000,10000,10000
GET,/api/product-reviews/[id],1896,42,68,120.52948436175286,56.698215998039814,3241.726275999099,982.7025316455696,4.513566506117961,0.09998406817349913,68,74,81,88,130,220,1300,1300,3100,3200,3200
GET,/api/products/[id],14704,212,64,102.94394741663825,53.71654099872103,3611.813601000904,602.7765233949946,35.0039461529317,0.5046814869709956,64,69,73,77,96,140,970,1300,3300,3600,3600
GET,/api/recommendations,2776,0,75,104.27365535769624,62.9641849991458,3792.3253459994157,2407.739553314121,6.608470791657942,0.0,75,81,87,94,130,190,560,570,3500,3800,3800
,Aggregated,34250,259,69,111.34136893071909,53.71654099872103,10217.353344000003,936.6684379562043,81.53462702243678,0.6165684204032446,69,78,89,99,130,170,500,1300,3500,9500,10000
