Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3192,0,71,99.76802944266993,56.29884399968432,4177.743013002328,11405.0,7.598609179345443,0.0,71,77,83,88,120,170,280,370,3400,4200,4200
GET,/api/cart,9754,0,65,95.87937490903919,54.53108200163115,3687.788447998173,24.0,23.219559503551206,0.0,65,69,73,77,100,160,330,850,3400,3700,3700
POST,/api/cart,19322,1,71,103.56851885198249,57.86905100103468,1844.6611940016737,118.04419832315496,45.99634290830597,0.002380516660195941,71,76,81,85,120,200,520,1000,1700,1800,1800
POST,/api/checkout,6424,29,150,221.52107775668554,78.65577199845575,4321.565661000932,1653.1545765877959,15.292439025098725,0.06903498314568228,150,170,190,220,340,550,1200,1800,3400,4300,4300
GET,/api/data/,9622,2,130,153.69647190519635,107.35009999916656,4121.474673000193,159.23965911452922,22.905331304405344,0.004761033320391882,130,130,140,150,180,230,310,420,3600,4100,4100
POST,/api/product-ask-ai-assistant/[id],3186,16,120,1136.2182362530084,59.6633950008254,15096.231247000105,194.74544883866918,7.584326079384268,0.038088266563135055,120,310,710,1200,3600,6700,9600,12000,15000,15000,15000
GET,/api/product-reviews/[id],6441,1581,99,410.5699379442226,56.04212000253028,5041.21732099884,763.1041763701288,15.332907808322055,3.7635968397697823,99,290,680,1200,1300,1300,1300,1400,3800,5000,5000
GET,/api/products/[id],51379,577,66,113.94799843579702,54.2202479991829,5513.4800510022615,607.0632359524319,122.30856548420725,1.3735581129330579,66,72,77,83,130,260,840,1300,3300,4100,5500
GET,/api/recommendations,9556,0,84,158.79033968449897,63.50594499963336,4647.085682998295,2366.1293428212643,22.74821720483241,0.0,84,100,140,180,340,560,600,770,3400,4600,4600
,Aggregated,118876,2206,73,166.5024371525052,54.2202479991829,15096.231247000105,928.7696591406171,282.98629849745265,5.251419752392246,73,87,120,130,210,490,1300,1400,8200,15000,15000
