NAME                                             STATUS   ROLES    AGE     VERSION               INTERNAL-IP   EXTERNAL-IP   OS-IMAGE                        KERNEL-VERSION                     CONTAINER-RUNTIME            LABELS
ip-10-0-24-177.ap-southeast-1.compute.internal   Ready    <none>   8d      v1.35.6-eks-8f14419   10.0.24.177   <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown   beta.kubernetes.io/arch=amd64,beta.kubernetes.io/instance-type=t3.large,beta.kubernetes.io/os=linux,eks.amazonaws.com/capacityType=ON_DEMAND,eks.amazonaws.com/nodegroup-image=ami-06ec1dc854f03470c,eks.amazonaws.com/nodegroup=default-2026071311552325930000001c,eks.amazonaws.com/sourceLaunchTemplateId=lt-037b553de30d31ec1,eks.amazonaws.com/sourceLaunchTemplateVersion=1,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1b,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,kubernetes.io/arch=amd64,kubernetes.io/hostname=ip-10-0-24-177.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=t3.large,topology.ebs.csi.aws.com/zone=ap-southeast-1b,topology.k8s.aws/zone-id=apse1-az1,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1b
ip-10-0-26-153.ap-southeast-1.compute.internal   Ready    <none>   17d     v1.35.6-eks-8f14419   10.0.26.153   <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown   beta.kubernetes.io/arch=amd64,beta.kubernetes.io/instance-type=t3.large,beta.kubernetes.io/os=linux,eks.amazonaws.com/capacityType=ON_DEMAND,eks.amazonaws.com/nodegroup-image=ami-06ec1dc854f03470c,eks.amazonaws.com/nodegroup=default-2026071311552325930000001c,eks.amazonaws.com/sourceLaunchTemplateId=lt-037b553de30d31ec1,eks.amazonaws.com/sourceLaunchTemplateVersion=1,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1b,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,kubernetes.io/arch=amd64,kubernetes.io/hostname=ip-10-0-26-153.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=t3.large,topology.ebs.csi.aws.com/zone=ap-southeast-1b,topology.k8s.aws/zone-id=apse1-az1,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1b
ip-10-0-34-80.ap-southeast-1.compute.internal    Ready    <none>   7h23m   v1.35.6-eks-8f14419   10.0.34.80    <none>        Amazon Linux 2023.12.20260710   6.12.94-123.180.amzn2023.aarch64   containerd://2.2.4+unknown   beta.kubernetes.io/arch=arm64,beta.kubernetes.io/instance-type=c8g.large,beta.kubernetes.io/os=linux,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1c,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,karpenter.k8s.aws/ec2nodeclass=flash-sale-spot-arm64,karpenter.k8s.aws/instance-capability-flex=false,karpenter.k8s.aws/instance-category=c,karpenter.k8s.aws/instance-cpu-manufacturer=aws,karpenter.k8s.aws/instance-cpu-sustained-clock-speed-mhz=2800,karpenter.k8s.aws/instance-cpu=2,karpenter.k8s.aws/instance-ebs-bandwidth=10000,karpenter.k8s.aws/instance-encryption-in-transit-supported=true,karpenter.k8s.aws/instance-family=c8g,karpenter.k8s.aws/instance-generation=8,karpenter.k8s.aws/instance-hypervisor=nitro,karpenter.k8s.aws/instance-memory=4096,karpenter.k8s.aws/instance-network-bandwidth=937,karpenter.k8s.aws/instance-size=large,karpenter.k8s.aws/instance-tenancy=default,karpenter.sh/capacity-type=spot,karpenter.sh/do-not-sync-taints=true,karpenter.sh/initialized=true,karpenter.sh/nodepool=flash-sale-spot-arm64,karpenter.sh/registered=true,kubernetes.io/arch=arm64,kubernetes.io/hostname=ip-10-0-34-80.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=c8g.large,techx.io/arch=arm64,techx.io/capacity=spot,techx.io/workload=elastic,topology.ebs.csi.aws.com/zone=ap-southeast-1c,topology.k8s.aws/zone-id=apse1-az3,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1c
ip-10-0-4-166.ap-southeast-1.compute.internal    Ready    <none>   15d     v1.35.6-eks-8f14419   10.0.4.166    <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown   beta.kubernetes.io/arch=amd64,beta.kubernetes.io/instance-type=t3.medium,beta.kubernetes.io/os=linux,eks.amazonaws.com/capacityType=ON_DEMAND,eks.amazonaws.com/nodegroup-image=ami-06ec1dc854f03470c,eks.amazonaws.com/nodegroup=techx-corp-tf3-db-1a-20260714150635950300000008,eks.amazonaws.com/sourceLaunchTemplateId=lt-0b188253af3a7ba6a,eks.amazonaws.com/sourceLaunchTemplateVersion=1,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1a,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,kubernetes.io/arch=amd64,kubernetes.io/hostname=ip-10-0-4-166.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=t3.medium,techx.io/workload=stateful,topology.ebs.csi.aws.com/zone=ap-southeast-1a,topology.k8s.aws/zone-id=apse1-az2,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1a
ip-10-0-43-83.ap-southeast-1.compute.internal    Ready    <none>   17d     v1.35.6-eks-8f14419   10.0.43.83    <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown   beta.kubernetes.io/arch=amd64,beta.kubernetes.io/instance-type=t3.large,beta.kubernetes.io/os=linux,eks.amazonaws.com/capacityType=ON_DEMAND,eks.amazonaws.com/nodegroup-image=ami-06ec1dc854f03470c,eks.amazonaws.com/nodegroup=default-2026071311552325930000001c,eks.amazonaws.com/sourceLaunchTemplateId=lt-037b553de30d31ec1,eks.amazonaws.com/sourceLaunchTemplateVersion=1,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1c,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,kubernetes.io/arch=amd64,kubernetes.io/hostname=ip-10-0-43-83.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=t3.large,topology.ebs.csi.aws.com/zone=ap-southeast-1c,topology.k8s.aws/zone-id=apse1-az3,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1c
ip-10-0-45-138.ap-southeast-1.compute.internal   Ready    <none>   3h16m   v1.35.6-eks-8f14419   10.0.45.138   <none>        Amazon Linux 2023.12.20260710   6.12.94-123.180.amzn2023.aarch64   containerd://2.2.4+unknown   beta.kubernetes.io/arch=arm64,beta.kubernetes.io/instance-type=c8g.large,beta.kubernetes.io/os=linux,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1c,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,karpenter.k8s.aws/ec2nodeclass=flash-sale-spot-arm64,karpenter.k8s.aws/instance-capability-flex=false,karpenter.k8s.aws/instance-category=c,karpenter.k8s.aws/instance-cpu-manufacturer=aws,karpenter.k8s.aws/instance-cpu-sustained-clock-speed-mhz=2800,karpenter.k8s.aws/instance-cpu=2,karpenter.k8s.aws/instance-ebs-bandwidth=10000,karpenter.k8s.aws/instance-encryption-in-transit-supported=true,karpenter.k8s.aws/instance-family=c8g,karpenter.k8s.aws/instance-generation=8,karpenter.k8s.aws/instance-hypervisor=nitro,karpenter.k8s.aws/instance-memory=4096,karpenter.k8s.aws/instance-network-bandwidth=937,karpenter.k8s.aws/instance-size=large,karpenter.k8s.aws/instance-tenancy=default,karpenter.sh/capacity-type=spot,karpenter.sh/do-not-sync-taints=true,karpenter.sh/initialized=true,karpenter.sh/nodepool=flash-sale-spot-arm64,karpenter.sh/registered=true,kubernetes.io/arch=arm64,kubernetes.io/hostname=ip-10-0-45-138.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=c8g.large,techx.io/arch=arm64,techx.io/capacity=spot,techx.io/workload=elastic,topology.ebs.csi.aws.com/zone=ap-southeast-1c,topology.k8s.aws/zone-id=apse1-az3,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1c
ip-10-0-5-127.ap-southeast-1.compute.internal    Ready    <none>   6h5m    v1.35.6-eks-8f14419   10.0.5.127    <none>        Amazon Linux 2023.12.20260710   6.12.94-123.180.amzn2023.aarch64   containerd://2.2.4+unknown   beta.kubernetes.io/arch=arm64,beta.kubernetes.io/instance-type=c6g.large,beta.kubernetes.io/os=linux,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1a,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,karpenter.k8s.aws/ec2nodeclass=elastic-ondemand-fallback-arm64,karpenter.k8s.aws/instance-capability-flex=false,karpenter.k8s.aws/instance-category=c,karpenter.k8s.aws/instance-cpu-manufacturer=aws,karpenter.k8s.aws/instance-cpu-sustained-clock-speed-mhz=2500,karpenter.k8s.aws/instance-cpu=2,karpenter.k8s.aws/instance-ebs-bandwidth=4750,karpenter.k8s.aws/instance-encryption-in-transit-supported=false,karpenter.k8s.aws/instance-family=c6g,karpenter.k8s.aws/instance-generation=6,karpenter.k8s.aws/instance-hypervisor=nitro,karpenter.k8s.aws/instance-memory=4096,karpenter.k8s.aws/instance-network-bandwidth=750,karpenter.k8s.aws/instance-size=large,karpenter.k8s.aws/instance-tenancy=default,karpenter.sh/capacity-type=on-demand,karpenter.sh/do-not-sync-taints=true,karpenter.sh/initialized=true,karpenter.sh/nodepool=elastic-ondemand-fallback-arm64,karpenter.sh/registered=true,kubernetes.io/arch=arm64,kubernetes.io/hostname=ip-10-0-5-127.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=c6g.large,techx.io/arch=arm64,techx.io/capacity=on-demand-fallback,techx.io/workload=elastic,topology.ebs.csi.aws.com/zone=ap-southeast-1a,topology.k8s.aws/zone-id=apse1-az2,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1a
ip-10-0-8-134.ap-southeast-1.compute.internal    Ready    <none>   17d     v1.35.6-eks-8f14419   10.0.8.134    <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown   beta.kubernetes.io/arch=amd64,beta.kubernetes.io/instance-type=t3.large,beta.kubernetes.io/os=linux,eks.amazonaws.com/capacityType=ON_DEMAND,eks.amazonaws.com/nodegroup-image=ami-06ec1dc854f03470c,eks.amazonaws.com/nodegroup=default-2026071311552325930000001c,eks.amazonaws.com/sourceLaunchTemplateId=lt-037b553de30d31ec1,eks.amazonaws.com/sourceLaunchTemplateVersion=1,failure-domain.beta.kubernetes.io/region=ap-southeast-1,failure-domain.beta.kubernetes.io/zone=ap-southeast-1a,k8s.io/cloud-provider-aws=64ddbd29b0a81ea783b0ffe9567793c8,kubernetes.io/arch=amd64,kubernetes.io/hostname=ip-10-0-8-134.ap-southeast-1.compute.internal,kubernetes.io/os=linux,node.kubernetes.io/instance-type=t3.large,topology.ebs.csi.aws.com/zone=ap-southeast-1a,topology.k8s.aws/zone-id=apse1-az2,topology.kubernetes.io/region=ap-southeast-1,topology.kubernetes.io/zone=ap-southeast-1a
