Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1850,0,69,94.68463068649694,57.81158300123934,4038.0275190000248,11405.0,4.404172521743809,0.0,69,74,78,82,100,130,200,310,4000,4000,4000
GET,/api/cart,5603,0,64,98.92651174405923,55.1868349994038,3513.442679999571,24.0,13.3386911563949,0.0,64,68,72,75,94,150,570,1200,2500,3500,3500
POST,/api/cart,11369,0,70,90.76206005066692,59.32391000169446,2062.817496000207,118.73093499868062,27.06542562146236,0.0,70,74,78,82,97,130,230,700,1900,2000,2100
POST,/api/checkout,3775,6,220,374.0927967059694,81.65862100031518,2700.9667309994256,1674.1581456953643,8.986892578152908,0.014283802773223166,220,340,460,570,890,1200,1500,1700,2400,2700,2700
GET,/api/data/,5624,0,120,142.97369266571653,107.75800800001889,4015.8713279997755,159.41660739687055,13.38868446610118,0.0,120,130,140,140,160,190,240,300,3500,4000,4000
POST,/api/product-ask-ai-assistant/[id],1883,0,76,143.620679443975,62.39968899899395,5768.8203809993865,261.72012745618696,4.482733436996536,0.0,76,84,98,110,220,390,610,1000,5600,5800,5800
GET,/api/product-reviews/[id],3606,55,70,119.40143484636039,57.4910949999321,4242.70125700059,989.7917359955629,8.584565466707122,0.1309348587545457,70,79,94,100,180,320,520,570,4000,4200,4200
GET,/api/products/[id],29940,44,65,80.29796126048385,55.03160999978718,4246.0928759992385,611.6841349365397,71.2761758383836,0.10474788700363655,65,68,71,74,88,110,170,270,2500,4000,4200
GET,/api/recommendations,5412,0,79,117.50070355617632,63.41619799968612,4164.673594001215,2441.839985218034,12.883990101447296,0.0,79,87,97,110,170,250,370,570,3600,4200,4200
,Aggregated,69062,105,70,111.76398177201547,55.03160999978718,5768.8203809993865,946.8470215168978,164.41133118738972,0.2499665485314054,70,78,91,110,140,240,550,950,3300,4100,5800
