ts,checkout_success,browse_success,cart_success,checkout_rate,checkout_p95,browse_p95,orders_confirmed,payment_txns,checkout_slo_ok
2026-07-31T02:06:32Z,,,,,,,,,
2026-07-31T02:07:09Z,,,,,,,,,
2026-07-31T02:07:47Z,,,,,,,,,
2026-07-31T02:08:25Z,,,,,,,,,
2026-07-31T02:09:02Z,,,,,,,,,
2026-07-31T02:09:40Z,,,,,,,,,
2026-07-31T02:10:18Z,,,,,,,,,
2026-07-31T02:10:56Z,,,,,,,,,
2026-07-31T02:11:33Z,,,,,,,,,
2026-07-31T02:12:11Z,,,,,,,,,
2026-07-31T02:12:49Z,,,,,,,,,
2026-07-31T02:13:26Z,,,,,,,,,
2026-07-31T02:14:04Z,,,,,,,,,
2026-07-31T02:14:42Z,,,,,,,,,
