Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,494,0,70,113.5614168724733,58.81328399937047,5226.366882000548,11405.0,1.1760131230227489,0.0,70,80,94,110,180,240,500,810,5200,5200,5200
GET,/api/cart,1353,0,67,124.2446087523967,56.11760699957813,5689.143253999646,24.0,3.2209428247971235,0.0,67,78,92,100,170,290,610,1200,5600,5700,5700
POST,/api/cart,2847,0,70,100.31193200034303,57.99192700033018,2091.931367000143,118.33017211099403,6.777549314262684,0.0,70,77,86,94,130,200,410,740,1700,2100,2100
POST,/api/checkout,938,1,110,164.08006444457132,77.25662800021382,4892.824022000241,1684.6332622601278,2.232996577723357,0.0023805933664428113,110,130,150,170,220,290,560,840,4900,4900,4900
GET,/api/data/,1432,0,130,173.54296473605103,109.39107100057299,5770.808760000364,158.09217877094972,3.4090097007461058,0.0,130,150,160,180,260,340,530,850,1200,5800,5800
POST,/api/product-ask-ai-assistant/[id],440,0,72,154.80948753635073,62.14428899966151,6202.340443999674,259.5977272727273,1.047461081234837,0.0,73,83,99,120,180,270,500,2200,6200,6200,6200
GET,/api/product-reviews/[id],854,10,72,114.51079103512254,56.60683599944605,5664.499010999862,992.9391100702576,2.033026734942161,0.02380593366442811,72,84,99,110,170,300,560,600,5700,5700,5700
GET,/api/products/[id],7532,80,67,106.13176773658829,54.86200599989388,5689.832654000384,605.1800318640468,17.930629236047256,0.1904474693154249,67,75,86,97,150,240,490,590,5600,5700,5700
GET,/api/recommendations,1371,0,81,128.17195060686996,62.84638899978745,5660.981007999908,2428.2414296134207,3.263793505393094,0.0,81,95,110,130,190,280,530,620,5500,5700,5700
,Aggregated,17261,91,73,118.95183366357647,54.86200599989388,6202.340443999674,965.1543942992874,41.09142209816937,0.21663399634629582,73,90,110,120,180,270,500,680,5600,5800,6200
