Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2322,0,74,101.26787529325384,56.71377899852814,3516.18697700178,11405.0,5.5277981458250265,0.0,74,83,90,96,120,170,260,360,3400,3500,3500
GET,/api/cart,6932,0,68,101.01356932862458,54.99321300158044,3671.0641760000726,24.0,16.50245337935361,0.0,68,73,78,83,110,170,370,960,3400,3700,3700
POST,/api/cart,14040,0,76,97.11703964938445,57.822558999760076,2028.8482489995658,118.9900284900285,33.42389576545365,0.0,76,83,89,94,110,150,290,590,1700,2000,2000
POST,/api/checkout,4633,2,150,197.9243349285758,81.28464900073595,2175.761152000632,1698.3406000431685,11.0294094787284,0.004761238713027585,150,180,200,220,300,440,870,1200,1900,2200,2200
GET,/api/data/,7025,1,130,156.5757745181374,110.2268680006091,4157.9151099977025,158.38092526690392,16.723850979509393,0.0023806193565137925,130,140,150,160,190,240,320,390,3600,4200,4200
POST,/api/product-ask-ai-assistant/[id],2324,0,100,313.91277176805494,64.78973399862298,5909.221185000206,250.87822719449227,5.532559384538054,0.0,100,170,340,500,880,1200,1700,2100,5700,5900,5900
GET,/api/product-reviews/[id],4687,159,90,265.72969033284045,60.14191200301866,4858.975970000756,970.5826754853852,11.157962923980145,0.378518477685693,90,140,270,410,790,1100,1300,1300,4500,4900,4900
GET,/api/products/[id],37026,63,71,102.71603891516403,54.311809999489924,5064.533181001025,610.8782747258683,88.14481229427969,0.14997901946036893,71,78,86,92,130,190,340,600,3500,4800,5100
GET,/api/recommendations,6913,1,98,150.23770357486177,64.25791700166883,4814.531735999481,2434.8078981628814,16.457221611579847,0.0023806193565137925,98,120,140,160,240,350,560,710,4100,4800,4800
,Aggregated,85902,226,79,129.59636803884857,54.311809999489924,5909.221185000206,953.2118460571348,204.4999639632478,0.5380199745721171,79,96,120,130,180,290,680,1100,3400,4800,5900
