Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4771,19,89,223.55630183295395,57.15328199948999,15145.010973999888,11359.678683714106,12.541811495316283,0.04994643018465927,89,110,140,160,320,570,1200,1900,15000,15000,15000
GET,/api/cart,14442,40,79,222.9217117072434,53.96876999657252,15128.204395001376,24.0049162165905,37.96454445930785,0.10515037933612478,79,95,120,140,290,540,1100,2100,15000,15000,15000
POST,/api/cart,28160,60,91,232.47950298625432,59.16463100220426,15163.130033997732,117.8915127840909,74.02586705263184,0.15772556900418716,91,110,140,170,370,700,1300,1800,15000,15000,15000
POST,/api/checkout,9341,990,660,1749.0207362615113,69.96774200160871,16103.570922001381,1465.0868215394498,24.555242334468538,2.602471888569088,660,1400,2200,2700,5100,5500,13000,15000,15000,16000,16000
GET,/api/data/,14347,166,150,360.2167806208175,52.505184001347516,15933.73023499953,156.7340210496968,37.71481230838455,0.4363740742449178,150,180,220,260,440,730,1500,5100,15000,16000,16000
POST,/api/product-ask-ai-assistant/[id],4762,55,360,1329.4505521652545,54.437692000647075,15150.755189999472,166.81331373372532,12.518152659965654,0.14458177158717156,360,890,1400,1700,3700,6200,9900,13000,15000,15000,15000
GET,/api/product-reviews/[id],9582,2982,350,657.3105980946418,53.199889000097755,15106.343616000231,698.3483615111668,25.18877336996869,7.838960779508102,350,900,1300,1300,1300,1400,1700,2500,15000,15000,15000
GET,/api/products/[id],75548,1586,86,263.4284073857013,54.668698998284526,16142.060493999452,599.0291205591147,198.59752145213886,4.169212540677347,86,110,150,200,420,820,1300,2200,15000,15000,16000
GET,/api/recommendations,14399,75,270,483.28102237607493,53.66410900023766,15178.489424000873,1995.4732967567193,37.851507801521514,0.19715696125523396,270,520,570,600,820,1300,2200,3100,15000,15000,15000
,Aggregated,175352,5973,110,409.6202186021337,52.505184001347516,16142.060493999452,885.4862277019937,460.9582329337038,15.701580394366832,110,160,250,350,790,1300,3100,5400,15000,15000,16000
