Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1384,0,70,86.0273440730137,57.24282899973332,3369.9993829977757,11405.0,3.2946521430860924,0.0,70,75,79,82,97,130,190,270,2700,3400,3400
GET,/api/cart,4168,0,65,100.5938338169179,54.42046600001049,3987.0187170017743,24.0,9.922044893340196,0.0,65,70,75,79,100,150,390,1300,3500,4000,4000
POST,/api/cart,8488,0,70,97.3870506736487,56.879014999140054,1806.5818380018754,118.41764844486333,20.205930195458635,0.0,70,75,80,84,100,150,470,830,1700,1800,1800
POST,/api/checkout,2834,2,110,170.4918232417154,78.42901700132643,8318.426338999416,1662.3168666196188,6.746419200510105,0.0047610580102400175,110,120,130,140,180,230,760,1800,5800,8300,8300
GET,/api/data/,4224,0,130,146.9202106202625,106.93629699744633,3760.9633110005234,159.1328125,10.055354517626917,0.0,130,130,140,150,170,210,260,330,2700,3800,3800
POST,/api/product-ask-ai-assistant/[id],1399,0,76,237.6059219928274,60.26342299810494,9970.462847999443,258.45103645461046,3.3303600781628924,0.0,76,83,92,100,160,330,3300,6000,9400,10000,10000
GET,/api/product-reviews/[id],2760,83,70,134.79672901228818,57.12667699845042,3514.0940509991196,973.981884057971,6.570260054131224,0.19758390742496074,70,78,90,100,160,380,1300,1300,3000,3500,3500
GET,/api/products/[id],22279,276,66,103.12285329395101,52.76929200044833,4009.7636339996825,605.866780376139,53.035805705068675,0.6570260054131224,66,70,75,79,100,160,680,1300,3300,4000,4000
GET,/api/recommendations,4136,0,77,117.0212728481894,62.923789002525155,4065.8953329984797,2386.428916827853,9.845867965176357,0.0,77,84,92,100,160,270,570,590,3400,4100,4100
,Aggregated,51672,361,71,115.23933109554164,52.76929200044833,9970.462847999443,942.309239046292,123.0066947525611,0.8593709708483231,71,80,94,110,140,190,570,1300,3600,8200,10000
