Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2364,0,70,91.48702732784545,57.88008799936506,4034.1033799995785,11405.0,5.627841572646775,0.0,70,76,80,85,100,150,230,270,3500,4000,4000
GET,/api/cart,6975,0,65,96.33514684516123,53.68839099901379,4046.7981030014926,24.0,16.60498941167989,0.0,65,69,73,77,98,150,330,1100,3300,4000,4000
POST,/api/cart,13813,0,71,93.66676978992142,58.71178800043708,2039.6257949996652,118.05487584159849,32.88383064423431,0.0,71,76,80,84,100,140,250,620,1800,2000,2000
POST,/api/checkout,4539,0,530,613.1408867292328,80.69968999916455,3239.456038998469,1662.9332452081956,10.805741496719,0.0,530,740,870,970,1200,1500,1600,1900,2800,3200,3200
GET,/api/data/,6838,1,130,153.31475465691827,109.24587699992117,4109.642996998446,160.15896460953496,16.27884123255442,0.002380643643251597,130,130,140,150,170,210,290,380,3700,4100,4100
POST,/api/product-ask-ai-assistant/[id],2326,0,80,154.7910832863119,62.32649699995818,3994.6853749988804,261.9316423043852,5.537377114203215,0.0,80,98,120,150,290,500,710,920,3100,4000,4000
GET,/api/product-reviews/[id],4619,114,73,139.71040539056065,57.7432840000256,4082.2083839993866,979.9945875730677,10.996192988179127,0.2713933753306821,73,89,110,140,290,470,560,600,3700,4100,4100
GET,/api/products/[id],36807,3,65,82.0228514712371,54.93656799990276,4049.3870330010395,610.9738364984921,87.62435057716154,0.007141930929754792,65,69,73,76,92,120,180,240,3200,3800,4000
GET,/api/recommendations,7022,0,81,123.71171030804065,63.316871999631985,4021.364096999605,2448.0155226431216,16.716879662912714,0.0,81,93,110,130,210,300,420,500,3500,4000,4000
,Aggregated,85303,118,71,127.856347329778,53.68839099901379,4109.642996998446,963.819091942839,203.076044700291,0.28091594990368846,71,81,98,120,170,370,830,1200,3100,4000,4100
