Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/products/[id],HTTPError('500 Server Error: Internal Server Error for url: /api/products/[id]'),3,2026-07-30T05:21:42Z,2026-07-30T05:21:42Z
GET,/api/data/,HTTPError('503 Server Error: Service Unavailable for url: /api/data/'),1,2026-07-30T05:24:38Z,2026-07-30T05:24:38Z
GET,/api/product-reviews/[id],HTTPError('503 Server Error: Service Unavailable for url: /api/product-reviews/[id]'),114,2026-07-30T05:21:25Z,2026-07-30T05:27:45Z
