Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [shed_browse],47358,20780,73,89.07886002788946,51.48713599919574,3408.007604000886,6408.5682883567715,112.72961912169296,49.46411346232484,73,82,89,95,120,180,270,330,570,3300,3400
POST,/api/cart [protected],4389,1,83,114.1356735331471,60.47530100113363,1923.9831019986013,98.99908863066757,10.44744918123887,0.002380371196454516,83,94,110,120,180,270,390,590,1600,1900,1900
POST,/api/checkout [protected],4388,1,120,180.5156482495235,83.79483500175411,4053.5133570010657,1049.7547857793984,10.445068810042416,0.002380371196454516,120,130,150,170,250,390,970,1500,3100,4100,4100
GET,/api/products [shed_browse],190378,83607,72,89.82611773775793,51.41346999880625,3715.095701001701,3446.973494836588,453.1703076386178,199.01569462197273,72,80,87,93,120,180,290,370,820,3400,3700
GET,/api/products/:id [protected],4391,5,77,101.54035550943674,55.70509300014237,3420.4391169987503,613.3242997039399,10.452209923631779,0.01190185598227258,77,86,96,100,140,210,290,360,3200,3400,3400
,Aggregated,250904,104394,73,91.90136917935739,51.41346999880625,4053.5133570010657,3855.892432962408,597.2446546752238,248.49647068267274,73,81,89,96,130,190,300,370,1100,3400,4100
