Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3603,0,82,152.1465275859077,59.20288199922652,10104.803148000428,11405.0,8.576131920119403,0.0,82,100,130,160,270,370,560,760,5800,10000,10000
GET,/api/cart,10723,1,74,138.16644082729528,56.13180100044701,14640.059535000546,24.00662128135783,25.52369208421881,0.0023802753039465457,74,90,110,140,240,350,590,850,5300,11000,15000
POST,/api/cart,21518,2,83,123.5590889665862,59.53623399909702,4462.119431000247,118.17264615670601,51.21876399032177,0.0047605506078930914,83,97,120,140,230,320,440,620,1600,3600,4500
POST,/api/checkout,6961,6465,15000,14289.483244431252,106.89979900053004,16737.48521000016,141.42005458985778,16.569096390771904,15.388479840014417,15000,15000,15000,15000,15000,15000,15000,15000,16000,17000,17000
GET,/api/data/,10853,3,150,224.5804089224162,111.75253399960638,10719.400067999231,158.70800700267208,25.833127873731858,0.007140825911839637,150,180,220,250,360,480,730,1000,6100,11000,11000
POST,/api/product-ask-ai-assistant/[id],3595,0,110,268.89994421918624,63.13947300077416,11403.46770999895,256.77663421418634,8.55708971768783,0.0,110,190,270,330,520,800,1700,2600,6300,11000,11000
GET,/api/product-reviews/[id],7165,345,99,207.26386331821257,58.36487399938051,7025.793865999731,957.1316120027914,17.054672552777,0.8211949798615582,99,160,240,300,480,590,760,1000,6300,7000,7000
GET,/api/products/[id],57478,569,76,140.1327993959818,56.494798000130686,14898.226277000504,606.4080691742928,136.81346392023954,1.3543766479455843,76,93,120,150,250,360,600,790,5600,9200,15000
GET,/api/recommendations,10790,0,130,244.43576268434586,64.9085710010695,14393.939188999866,2309.5525486561633,25.683170529583226,0.0,130,230,330,390,560,610,790,1000,6300,11000,14000
,Aggregated,132686,7385,89,902.4215592148107,56.13180100044701,16737.48521000016,860.3433293640625,315.8292089794513,17.57833311964524,89,130,180,230,450,6800,15000,15000,15000,16000,17000
